iter	Passed	Remaining
665	1885	945
666	1886	941
667	1887	938
668	1888	934
669	1891	931
670	1892	928
671	1894	924
672	1895	921
673	1896	917
674	1897	913
675	1899	910
676	1900	906
677	1902	903
678	1907	901
679	1909	898
680	1911	895
681	1912	891
682	1918	890
683	1924	889
684	1926	885
685	1928	882
686	1929	879
687	1930	875
688	1971	890
689	1973	886
690	1975	883
691	1976	879
692	1978	876
693	1979	872
694	1980	869
695	1986	867
696	1988	864
697	1989	860
698	1990	857
699	1992	853
700	1993	850
701	1995	846
702	1996	843
703	1997	840
704	1999	836
705	2001	833
706	2003	830
707	2009	828
708	2015	827
709	2017	824
710	2018	820
711	2020	817
712	2021	813
713	2023	810
714	2024	807
715	2032	806
716	2055	811
717	2057	808
718	2061	805
719	2062	802
720	2064	799
721	2067	795
722	2068	792
723	2070	789
724	2076	787
725	2078	784
726	2079	780
727	2081	777
728	2082	774
729	2084	770
730	2087	768
731	2092	766
732	2094	762
733	2095	759
734	2097	756
735	2098	752
736	2099	749
737	2100	745
738	2101	742
739	2103	739
740	2108	736
741	2109	733
742	2110	729
743	2111	726
744	2112	723
745	2113	719
746	2114	716
747	2115	712
748	2117	709
749	2118	706
750	2120	703
751	2122	699
752	2123	696
753	2124	693
754	2125	689
755	2126	686
756	2127	683
757	2129	679
758	2130	676
759	2132	673
760	2135	670
761	2136	667
762	2137	663
763	2138	660
764	2139	657
765	2141	654
766	2142	650
767	2144	647
768	2147	645
769	2149	642
770	2150	638
771	2151	635
772	2152	632
773	2153	628
774	2154	625
775	2157	622
776	2159	619
777	2161	616
778	2164	614
779	2165	610
780	2166	607
781	2167	604
782	2168	601
783	2169	597
784	2170	594
785	2171	591
786	2172	588
787	2173	584
788	2174	581
789	2175	578
790	2176	575
791	2178	572
792	2179	568
793	2180	565
794	2181	562
795	2182	559
796	2183	556
797	2184	552
798	2185	549
799	2185	546
800	2186	543
801	2187	540
802	2188	536
803	2189	533
804	2189	530
805	2190	527
806	2194	524
807	2196	521
808	2197	518
809	2198	515
810	2199	512
811	2200	509
812	2200	506
813	2201	503
814	2202	499
815	2203	496
816	2203	493
817	2204	490
818	2205	487
819	2207	484
820	2208	481
821	2209	478
822	2210	475
823	2211	472
824	2212	469
825	2213	466
826	2213	463
827	2214	460
828	2215	456
829	2216	453
830	2217	450
831	2217	447
832	2218	444
833	2219	441
834	2222	439
835	2223	436
836	2224	433
837	2225	430
838	2226	427
839	2227	424
840	2227	421
841	2228	418
842	2229	415
843	2230	412
844	2231	409
845	2232	406
846	2233	403
847	2233	400
848	2235	397
849	2237	394
850	2238	391
851	2239	389
852	2240	386
853	2241	383
854	2243	380
855	2244	377
856	2245	374
857	2245	371
858	2246	368
859	2247	365
860	2248	363
861	2249	360
862	2251	357
863	2252	354
864	2253	351
865	2255	349
866	2256	346
867	2258	343
868	2259	340
869	2260	337
870	2262	335
871	2263	332
872	2264	329
873	2266	326
874	2268	324
875	2269	321
876	2270	318
877	2270	315
878	2271	312
879	2272	309
880	2273	307
881	2274	304
